Município;1991;2000;2010;Total
110001 ALTA FLORESTA D'OESTE;1,5;6,24;5,01;4,24
110002 ARIQUEMES;2,48;9,24;4,64;5,33
110003 CABIXI;2,61;5,75;2,49;3,71
110004 CACOAL;2,46;8,57;5,87;5,79
110005 CEREJEIRAS;2,64;10,66;5,24;6,26
110006 COLORADO DO OESTE;2,44;9,67;6,32;5,71
110007 CORUMBIARA;...;3,02;3,45;3,25
110008 COSTA MARQUES;5,41;5,94;4,64;5,22
110009 ESPIGAO D'OESTE;1,06;4,92;4,51;3,76
110010 GUAJARA-MIRIM;4,45;14,84;6,84;9,05
110011 JARU;3,58;9,23;5,16;6,01
110012 JI-PARANA;4,21;9,75;5,61;6,63
110013 MACHADINHO D'OESTE;4,2;6,75;3,64;4,58
110014 NOVA BRASILANDIA D'OESTE;2,27;2,81;3,54;3,01
110015 OURO PRETO DO OESTE;3,38;7,96;7,35;5,85
110018 PIMENTA BUENO;3,04;9,01;5,24;5,49
110020 PORTO VELHO;5,16;16,15;5,63;8,84
110025 PRESIDENTE MEDICI;1,06;6,86;5,24;4,4
110026 RIO CRESPO;...;4,56;6,81;5,71
110028 ROLIM DE MOURA;2,16;8,99;6,5;5,9
110029 SANTA LUZIA D'OESTE;1,17;7,28;8,29;5,61
110030 VILHENA;2,73;9,93;6,9;7,05
110032 SAO MIGUEL DO GUAPORE;0,54;2,04;3,6;2,28
110033 NOVA MAMORE;3,44;12,12;3,74;6,3
110034 ALVORADA D'OESTE;2,55;8,08;4,98;5,27
110037 ALTO ALEGRE DOS PARECIS;...;4,48;5,63;5,11
110040 ALTO PARAISO;...;3,9;2,49;3,01
110045 BURITIS;...;3,34;5,11;4,39
110050 NOVO HORIZONTE DO OESTE;...;7,51;4,04;5,77
110060 CACAULANDIA;...;4,16;3,65;3,86
110070 CAMPO NOVO DE RONDONIA;...;1,99;2,67;2,37
110080 CANDEIAS DO JAMARI;...;14,86;4,41;8,26
110090 CASTANHEIRAS;...;4,99;3,19;3,98
110092 CHUPINGUAIA;...;8,35;3,07;5,04
110094 CUJUBIM;...;3,95;5,94;5,37
110100 GOVERNADOR JORGE TEIXEIRA;...;5,35;2,17;3,97
110110 ITAPUA DO OESTE;...;9,89;5,02;6,8
110120 MINISTRO ANDREAZZA;...;1,84;2,14;2
110130 MIRANTE DA SERRA;...;4,88;6,33;5,64
110140 MONTE NEGRO;...;3,54;2,83;3,13
